uptime_ms,mac,rssi
26074,5A:94:34:C9:42:9F,-71
26078,5A:94:34:C9:42:9F,-71
26082,22:92:47:37:94:E7,-64
26092,DB:6A:5B:65:05:B3,-74
26097,51:8C:E1:D4:02:51,-74
26101,51:8C:E1:D4:02:51,-74
26117,0B:26:D2:65:5F:CF,-66
26188,22:92:47:37:94:E7,-66
26217,26:CA:42:C5:F0:5C,-65
26281,C0:10:CC:B8:94:20,-88
26296,22:92:47:37:94:E7,-67
26318,26:CA:42:C5:F0:5C,-65
26347,5A:94:34:C9:42:9F,-71
26351,5A:94:34:C9:42:9F,-71
26377,51:8C:E1:D4:02:51,-74
26381,51:8C:E1:D4:02:51,-74
26397,22:92:47:37:94:E7,-63
26403,0B:26:D2:65:5F:CF,-69
26416,26:CA:42:C5:F0:5C,-65
26498,22:92:47:37:94:E7,-63
26519,26:CA:42:C5:F0:5C,-69
26607,22:92:47:37:94:E7,-64
26626,5A:94:34:C9:42:9F,-71
26630,5A:94:34:C9:42:9F,-70
26654,51:8C:E1:D4:02:51,-75
26657,51:8C:E1:D4:02:51,-74
26695,0B:26:D2:65:5F:CF,-61
26710,22:92:47:37:94:E7,-63
26729,26:CA:42:C5:F0:5C,-73
26811,22:92:47:37:94:E7,-66
26829,26:CA:42:C5:F0:5C,-73
26899,5A:94:34:C9:42:9F,-65
26903,5A:94:34:C9:42:9F,-64
26916,22:92:47:37:94:E7,-66
26930,26:CA:42:C5:F0:5C,-65
26934,51:8C:E1:D4:02:51,-83
26938,51:8C:E1:D4:02:51,-81
26976,0B:26:D2:65:5F:CF,-61
27025,22:92:47:37:94:E7,-63
27034,26:CA:42:C5:F0:5C,-65
27129,22:92:47:37:94:E7,-63
27133,26:CA:42:C5:F0:5C,-65
27173,5A:94:34:C9:42:9F,-65
27176,5A:94:34:C9:42:9F,-66
27213,51:8C:E1:D4:02:51,-83
27229,26:CA:42:C5:F0:5C,-68
27239,22:92:47:37:94:E7,-64
27262,0B:26:D2:65:5F:CF,-64
