vanished_mac,appeared_mac,gap_s,interval_diff_ms,sigma_distance,rssi_delta,vanished_n_packets,appeared_n_packets
4B:7C:BC:E4:17:6C,5B:96:52:53:75:4D,352.672,1.3061851418250114e-05,0.0011221730062276347,1.5245309681298949,8315,200
EC:0D:30:18:2D:94,D0:E0:1C:11:27:E0,1.811,2.3974674768112436e-05,0.00837402070292404,0.27378783669117013,817,815
C0:99:86:97:1C:A5,C0:8E:30:BA:4C:86,0.945,3.193786577559976e-05,0.009271447954987038,1.497533358068459,1524,764
51:1B:FF:95:C1:2A,5B:96:52:53:75:4D,0.372,0.00019555871053844598,0.01682973000324969,4.247705210563879,5604,200
C6:EB:15:F1:C2:72,3D:25:71:8F:B3:36,861.934,0.00016524650556881681,0.023266813184667882,4.173377444984553,437,4563
15:6F:0A:A8:3C:88,3C:44:3F:1D:E2:E6,1200.142,0.0035639514806291572,0.023739151981772594,1.1632471631956207,5418,5415
F5:FA:1A:9C:C1:8A,DA:64:AE:45:3A:5F,1803.706,9.916789325670194e-05,0.03472875226472419,1.8532836444573277,745,787
01:59:51:4F:29:CE,05:77:20:2D:9C:CE,1002.565,0.014720628935833702,0.03563409631227182,0.7421157147184516,219,407
F5:FA:1A:9C:C1:8A,EC:0D:30:18:2D:94,3.789,0.00011528529891213779,0.04004323984609611,0.0336441227933264,745,817
1F:F3:23:E8:18:D8,3D:25:71:8F:B3:36,1200.098,0.00039451163223924723,0.04156771290329387,0.736876370099921,4601,4563
C0:FA:CF:E8:15:66,C0:99:86:97:1C:A5,0.513,0.00013732413049405423,0.042024563270402826,2.6371028825286444,1594,1524
F5:FA:1A:9C:C1:8A,D0:E0:1C:11:27:E0,901.768,0.00013925997368025023,0.048478645564789216,0.30743195948449653,745,815
60:29:A5:46:AD:CF,49:06:BB:72:39:EF,1238.694,0.0003518448908952365,0.050596772230924854,1.618749283002984,10041,2528
C0:10:CC:B8:94:20,C0:8E:30:BA:4C:86,2196.495,0.0001796723069129591,0.05439664783421524,7.751223248968564,1085,764
22:92:47:37:94:E7,2C:56:04:64:0F:F3,1200.089,0.009118591749043503,0.05863251168940212,0.513046382748712,859,5451
4B:7C:BC:E4:17:6C,49:06:BB:72:39:EF,0.033,0.0004576479916065246,0.06613486637503639,0.26246270275618144,8315,2528
60:29:A5:46:AD:CF,5B:96:52:53:75:4D,1591.333,0.000796431031083511,0.06830444717910783,3.4057429538890602,10041,200
1D:10:62:69:E3:C3,3D:25:71:8F:B3:36,812.978,0.000587930814473836,0.07223221632859438,5.876759487904238,889,4563
01:59:51:4F:29:CE,3D:D6:FE:C7:29:D8,1714.356,0.03771506703634486,0.07259170555566752,5.27003998164777,219,209
C0:FA:CF:E8:15:66,C0:8E:30:BA:4C:86,1093.555,0.00025968187250935415,0.07362066856468621,1.1395695244601853,1594,764
EC:0D:30:18:2D:94,DA:64:AE:45:3A:5F,903.749,0.00021445319216883973,0.07535729754170867,1.8196395216640013,817,787
3C:44:3F:1D:E2:E6,3A:9B:BD:54:19:44,599.951,0.01161988034971273,0.07688929507737319,6.3581909954354074,5415,4528
5A:94:34:C9:42:9F,4B:7C:BC:E4:17:6C,1516.489,0.0005254929507239048,0.07806265635955754,2.404826127139927,3002,8315
D0:E0:1C:11:27:E0,DA:64:AE:45:3A:5F,3.785,0.00023842786693695217,0.08397335323092116,1.5458516849728312,815,787
0A:F6:30:41:5E:42,3D:25:71:8F:B3:36,0.181,0.0007699557283991076,0.08506668440086626,0.2292808482661144,4230,4563
5A:94:34:C9:42:9F,67:A3:17:D6:18:1B,125.504,0.0005810161432777683,0.09070347950855344,13.639822305625799,3002,9888
60:29:A5:46:AD:CF,51:1B:FF:95:C1:2A,796.284,0.0006764320710055394,0.0953432305456226,7.653448164452939,10041,5604
C0:10:CC:B8:94:20,D0:E0:1C:11:27:E0,862.355,0.00027277506364242754,0.09602935979292741,8.28334511322835,1085,815
C0:10:CC:B8:94:20,C0:99:86:97:1C:A5,1103.453,0.000302030048928259,0.0998701538762713,9.248756607037024,1085,1524
05:77:20:2D:9C:CE,3D:D6:FE:C7:29:D8,589.235,0.052435695972178564,0.11325492069355036,6.0121556963662215,407,209
5A:94:34:C9:42:9F,51:1B:FF:95:C1:2A,2312.619,0.0007937192404474658,0.114190161559345,8.1770623058337,3002,5604
C0:10:CC:B8:94:20,C0:FA:CF:E8:15:66,0.526,0.00035101541215176724,0.11471120887575771,6.611653724508379,1085,1594
1F:F3:23:E8:18:D8,1D:10:62:69:E3:C3,116.826,0.0009824424467130832,0.11785945467674909,6.613635858004159,4601,889
1F:F3:23:E8:18:D8,0A:F6:30:41:5E:42,600.087,0.0011733399095166241,0.12436684407373697,0.9661572183660354,4601,4230
51:8C:E1:D4:02:51,67:A3:17:D6:18:1B,0.279,0.0007822035366351621,0.13005110605822034,1.511237568079551,3690,9888
D0:E0:1C:11:27:E0,C0:8E:30:BA:4C:86,435.987,0.00045244737055538664,0.13641217974564632,0.5321218642597856,815,764
60:29:A5:46:AD:CF,4B:7C:BC:E4:17:6C,0.154,0.0009446583607291004,0.13730268845577145,1.8812119857591654,10041,8315
EC:0D:30:18:2D:94,C0:8E:30:BA:4C:86,1335.951,0.0004764220453234991,0.14340019940160598,0.25833402756861545,817,764
26:D6:E0:14:5C:7B,34:1F:3A:61:16:B4,14.941,0.050280594565265346,0.14658563960625828,0.6951017804477004,797,773
67:A3:17:D6:18:1B,5B:96:52:53:75:4D,1462.4,0.0017572757007182638,0.15497976900376897,9.710465210355977,9888,200
